SMILES,human_VDss_L_kg,human_CL_mL_min_kg,human_fup,human_thalf,dog_VDss_L_kg,dog_CL_mL_min_kg,dog_fup,monkey_VDss_L_kg,monkey_CL_mL_min_kg,monkey_fup,rat_VDss_L_kg,rat_CL_mL_min_kg,rat_fup,mouse_VDss_L_kg,mouse_CL_mL_min_kg,mouse_fup
CCOc1ccccc1-c1cc(C(=O)NC/C=C/S(C)(=O)=O)[nH]n1,,,-0.853871964,,-0.096910013,1.4471580313422192,-0.698970004,0.2787536009528289,1.7481880270062005,,-0.22184875,1.6532125137753437,-0.958607315,0.01703333929878037,2.278753600952829,-0.744727495
NS(=O)(=O)c1c(C(F)(F)F)ccc(-c2ccc(C3CCN(CC4CNC4)CC3)cc2)c1-c1nn[nH]n1,,,,,,,,,,,-0.13667714,1.2787536009528289,-0.455931956,,,
NS(=O)(=O)c1c(C(F)(F)F)ccc([C@H]2CC[C@H](N)CC2)c1-c1nn[nH]n1,,,,,-0.508638306,0.414973347970818,-0.119186408,,,,-0.346787486,0.9395192526186185,-0.107905397,,,
Nc1nc2c(-c3ccc(C(F)(F)F)c(S(N)(=O)=O)c3-c3nn[nH]n3)cccc2[nH]1,,,,,-0.026872146,0.9590413923210935,-0.585026652,,,,-0.420216403,0.9822712330395684,-1.187086643,,,
NS(=O)(=O)c1c(CC2CCNCC2)ccc(-c2ccc(C3CCNCC3)cc2)c1-c1nn[nH]n1,,,,,-0.346787486,0.5440680443502757,-0.075720714,,,,-0.468521083,0.8061799739838872,-0.096910013,,,
NS(=O)(=O)c1c(C[C@H]2CC[C@H](N)CC2)ccc(-c2ccc(C3CNC3)cc2)c1-c1nn[nH]n1,,,,,,,,,,,-0.408935393,0.3424226808222063,-0.37675071,,,
Nc1ccc(-c2ccc(CC3CCNCC3)c(S(N)(=O)=O)c2-c2nn[nH]n2)cn1,,,,,,,,,,,-0.602059991,0.5440680443502757,-0.327902142,,,
CC(C)C(NC(=O)C(F)(F)F)C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3ccccc3s1)C2(C)C,,,,,0.04139268515822508,1.3159703454569178,,-0.236572006,1.414973347970818,,0.3344537511509309,1.4913616938342726,,,,
CC(C)(C)C(NC(=O)C(F)(F)F)C(=O)N1CC2C(C1C(=O)NC(C#N)CC1CCNC1=O)C2(C)C,,,,,,,,-0.48148606,1.2329961103921538,,0.25527250510330607,1.4345689040341987,,,,
COc1cccc2[nH]c(C(=O)NC(CC(C)C)C(=O)NC(CC3CCNC3=O)C(=O)COP(=O)(O)O)cc12,,,,,0.9684829485539351,2.7134905430939424,-0.505845406,0.25527250510330607,2.2810333672477277,-0.442492798,-0.236572006,2.287801729930226,-0.42136079,,,
