SMILES,mouse_fup
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C(F)(F)F)c3)cn2CCN2CCC2)CC1,-0.6777807050592738
O[C@H]1[C@H](n2cnc3c(N[C@H]4C[C@H]5CC[C@@H]4C5)nc(Cl)nc32)[C@H]2C[C@@]2(CCl)[C@H]1O,-1.5301779825496524
C[C@H](Nc1cc(Cl)nc2c1cnn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1ccc(F)cc1,-2.187086636675691
C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C(=O)N2CCC(F)CC2)c(Cl)c1Cl)C(F)(F)F,-0.8239087406547891
O=S(=O)(Nc1ccncn1)c1cc2c(cc1F)[C@@H](N1CC[C@H](C(F)(F)F)C[C@@H]1c1cc[nH]n1)CCO2,-3.886056313620613
COc1ccc(/C(=C(\c2ccc(/C=C/C(=O)O)cc2)c2ccc(-c3cncs3)cc2)C2CCC2)c(Cl)c1,-2.9999999565705537
Cc1noc(N2C[C@H]3CC[C@@H](C2)[C@@H]3Nc2nc3c(OCC(F)(F)F)ccc(C(F)(F)F)n3n2)n1,-1.5086383047647771
O=C(CS(=O)(=O)O)Nc1nc2ccccc2s1,-0.6798537136811496
O=C1NCc2nc(-c3c(F)cccc3F)cc(Nc3ccc(C(=O)N4CCCC4)cc3)c21,-3.2146700937934223
Fc1ccc(COC2CCN(Cc3cc4ccc(Cl)cc4[nH]3)CC2)cc1F,-2.397939997814676
FC(F)(F)COc1cccn2nc(N[C@@H]3[C@@H]4CC[C@H]3CN(c3ccnc(C(F)(F)F)c3)C4)nc12,-1.6989700021645464
CC(=O)Nc1cc(-c2[nH]c3cccnc3c2-c2cccc(C(F)F)n2)ccn1,-1.3010299947953925
N=C1N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(C2=CCCOC2)nc1F,-1.759450749221455
NS(=O)(=O)c1nccc(-c2ccc(CO)cc2)c1-c1nn[nH]n1,-0.3665315443194147
O=C(Nc1ccc(F)c(-c2nc3ncc(-c4ccc(F)cc4)cn3n2)c1)N1CCC(F)(F)C1,-1.464705878691065
O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@H](O)C2)c(-c2cncnc2)c1,4.342945178152237e-11
COc1cnc2ccc(=O)n(CCN[C@H]3CC[C@H]4[C@H](C3)OC(=O)N4c3ccc4c(n3)NC(=O)CO4)c2c1,-0.6020599911542446
CC(C)C[C@](C)(N)COc1ccc(-c2ccnc(C(F)F)c2)cc1C(F)(F)F,-2.6989699826212954
Cc1cc(NC(=O)OCc2ccc(Cl)cc2Cl)n(C2CCCCC2)n1,-2.3098039111083337
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4cc(OC)c(C)c(OC)c4)nn32)CC1,-0.872895201311092
N#Cc1c(F)cc(-n2c(C(=O)NC3CC3)cc3cccnc32)cc1F,-1.0177287665080414
NC(Cc1c[nH]cn1)C(=O)NCCc1cc2ccccc2[nH]1,-2.200659443652856
C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2C[C@H]3CC[C@@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,-0.8124792788815275
Cc1nc(C)n(CC(=O)N2CCN(c3sc(C(F)(F)F)nc3-c3nc4c(F)cccc4[nH]3)C[C@H]2C)n1,-1.8538719612196584
Cc1[nH]c(C(=O)Nc2nc3c(OCc4ccc[n+](C)c4)cc(C(=O)O)cc3s2)c(Cl)c1Cl,-2.6989699826212954
Cc1cc(C)c(-c2cn(C)cn2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,-1.9208187503332543
Cc1[nH]c(C(=O)Nc2nc3c(N4CCOC[C@H]4C)cc(C(=O)O)cc3s2)c(Cl)c1Cl,-1.958607310893644
COc1cc(F)cc2c(N3CCN4c5c(F)cccc5OC[C@@H]4C3)c(C#N)nnc12,-1.6197887564788336
O=C1C(N2CCC(c3ccc(O)cc3)CC2)CCN1Cc1ccc(F)cc1,-0.9208187535904632
